producto,precio
Bolsa termica porta bocadillos de canamo con cierre de velcro 170 g/m2,1.36
Fiambrera de plastico reciclado con tapa de bambu 500ml,3.19
Fiambrera de acero inoxidable reciclado de doble pared 480ml,8.4
Fiambrera para ninos de PP reciclado con cierre de clic 700ml,2.56
Doble fiambrera de plastico reciclado y bambu con cierre elastico,2.89
Fiambrera personalizada rectangular con cierre clip hecho en EU 950ml,1.79
Fiambrera estilo Bento de doble piso con multiples compartimientos,6.03
Fiambrera cuadrada con bolsa de gel refrigerante en la tapa 750ml,1.28
Fiambrera de plastico rigida con disenos en colores vivos 1000ml,3.65
Fiambrera grande de plastico con capacidad para 8 sandwiches 1200ml,2.26
Taza porta comidas especial para yogurt o sopa de 520 y 230ml,4.45
Clasica fiambrera rectangular de cristal con tapa de bambu,5.99
Fiambrera de aluminio con tapa de bambu y cierre metalico,7.95
Fiambrera de plastico reciclado con tapa de bambu y banda elastica,4.02
