,nombre,precio,precio_original,url,url2
68,Pack Camiseta Oversize Algodón Orgánico x3,72.00,75.00,https://minimalismbrand.com/products/pack-camiseta-oversize-algodon-organico-x3,https://minimalismbrand.com/products/pack-camiseta-oversize-algodon-organico-x3
69,Pack Camiseta Oversize Algodón Orgánico x5,115.00,125.00,https://minimalismbrand.com/products/pack-camiseta-oversize-algodon-organico-x5,https://minimalismbrand.com/products/pack-camiseta-oversize-algodon-organico-x5
70,Pack Camiseta Oversize Algodón Orgánico x7,154.00,175.00,https://minimalismbrand.com/products/pack-camiseta-oversize-algodon-organico-x7,https://minimalismbrand.com/products/pack-camiseta-oversize-algodon-organico-x7
71,Camiseta algodón orgánico manga larga - Negra,30.00,-,https://minimalismbrand.com/products/camiseta-algodon-organico-manga-larga?variant=41249197064391,https://minimalismbrand.com/products/camiseta-algodon-organico-manga-larga
74,Camiseta algodón orgánico manga larga x3,80.00,90.00,https://minimalismbrand.com/products/camiseta-algodon-organico-manga-larga-x3,https://minimalismbrand.com/products/camiseta-algodon-organico-manga-larga-x3
75,Polo piqué algodón orgánico - Negro,50.00,-,https://minimalismbrand.com/products/polo-pique-algodon-organico?variant=43114817913031,https://minimalismbrand.com/products/polo-pique-algodon-organico
79,Polo piqué algodón orgánico - Pack 3 uds,140.00,150.00,https://minimalismbrand.com/products/polo-pique-algodon-organico-x3-3,https://minimalismbrand.com/products/polo-pique-algodon-organico-x3-3
80,Sudadera algodón orgánico - Negra,55.00,-,https://minimalismbrand.com/products/sudadera-algodon-organico-sin-capucha?variant=36276044038301,https://minimalismbrand.com/products/sudadera-algodon-organico-sin-capucha
85,Sudadera algodón orgánico con capucha - Negra,65.00,-,https://minimalismbrand.com/products/sudadera-organica-con-capucha?variant=36275986858141,https://minimalismbrand.com/products/sudadera-organica-con-capucha
90,Jersey lana merino reciclada - Gris,55.00,-,https://minimalismbrand.com/products/jersey-sueter-lana-merino-reciclada?variant=42952727658695,https://minimalismbrand.com/products/jersey-sueter-lana-merino-reciclada
100,Bufanda de algodón reciclado - Negro,24.00,-,https://minimalismbrand.com/products/bufanda-de-algodon-reciclado?variant=37313437040839,https://minimalismbrand.com/products/bufanda-de-algodon-reciclado
102,Gorro de algodón reciclado - Negro,15.00,-,https://minimalismbrand.com/products/gorro-de-algodon-reciclado?variant=37313421246663,https://minimalismbrand.com/products/gorro-de-algodon-reciclado
104,Guantes de algodón reciclado - Negro,12.00,-,https://minimalismbrand.com/products/guantes-de-algodon-reciclado?variant=37313427865799,https://minimalismbrand.com/products/guantes-de-algodon-reciclado
106,Gorro + Guantes de algodón reciclado,23.00,27.00,https://minimalismbrand.com/products/gorro-guantes-de-algodon-reciclado,https://minimalismbrand.com/products/gorro-guantes-de-algodon-reciclado
113,Paño material reciclado x4,10.00,-,https://minimalismbrand.com/products/pano-material-reciclado-x4,https://minimalismbrand.com/products/pano-material-reciclado-x4
114,Pantalón orgánico Mom Fit Mujer,70.00,-,https://minimalismbrand.com/products/pantalon-organico-mom-fit-mujer,https://minimalismbrand.com/products/pantalon-organico-mom-fit-mujer
115,Pantalón vaquero Regular Mujer,70.00,-,https://minimalismbrand.com/products/pantalon-vaquero-regular-mujer,https://minimalismbrand.com/products/pantalon-vaquero-regular-mujer
