"thumbnail href","img-fluid src","img-fluid src 2","lbltext","badge","product-category-name","h3","color href","img-fluid src 3","miniature-reference-link","product-price","product-description-short","color href 2","img-fluid src 4"
"https://www.connectad.net/fiambreras-y-tuppers-personalizados/829244-2935011-fiambrera-de-acero-inox-750-ml-chan-lunchbox-mo9938.html#/2660-color-plata_mate/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://media1.connectad.net/1124870-home_default/fiambrera-de-acero-inox-750-ml-chan-lunchbox-mo9938.jpg","https://media2.connectad.net/1124871-home_default/fiambrera-de-acero-inox-750-ml-chan-lunchbox-mo9938.jpg","Más vendido","Con existencias","Fiambreras y Tuppers Personalizados","Fiambrera de acero inox. 750 ml CHAN LUNCHBOX | MO9938","https://www.connectad.net/fiambreras-y-tuppers-personalizados/829244-2935011-fiambrera-de-acero-inox-750-ml-chan-lunchbox-mo9938.html#/2660-color-plata_mate/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/2660.jpg","MO9938","8,59 €","Fiambrera de acero inoxidable con fuertes hebillas laterales que...","",""
"https://www.connectad.net/fiambreras-y-tuppers-personalizados/832990-2745654-shonka.html#/448-color-gris/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://media2.connectad.net/1057926-home_default/shonka.jpg","https://media3.connectad.net/1058799-home_default/shonka.jpg","Más vendido","Con existencias","Fiambreras y Tuppers Personalizados","Fiambrera Shonka | 1741","https://www.connectad.net/fiambreras-y-tuppers-personalizados/832990-2745656-shonka.html#/444-color-natural/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/444.jpg","MK1741","9,08 €","Fiambrera de 750 ml de capacidad, fabricada en acero inox...","https://www.connectad.net/fiambreras-y-tuppers-personalizados/832990-2745654-shonka.html#/448-color-gris/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/448.jpg"
"https://www.connectad.net/fiambreras-y-tuppers-personalizados/2500-2544826-noix.html#/447-color-amarillo/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://media3.connectad.net/990548-home_default/noix.jpg","https://media3.connectad.net/990559-home_default/noix.jpg","","Con existencias","Fiambreras y Tuppers Personalizados","Fiambrera Sandwich Noix | 2500","https://www.connectad.net/fiambreras-y-tuppers-personalizados/2500-2544827-noix.html#/422-color-azul/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/422.jpg","MK2500","0,72 €","Fiambrera para sandwich de 450ml de capacidad en variada gama de...","https://www.connectad.net/fiambreras-y-tuppers-personalizados/2500-2544830-noix.html#/425-color-verde/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/425.jpg"
"https://www.connectad.net/articulos-de-cocina-personalizados/827505-3053941-molkas.html#/459-color-blanco/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://media3.connectad.net/1177617-home_default/molkas.jpg","https://media2.connectad.net/1178093-home_default/molkas.jpg","","Con existencias","Artículos de Cocina personalizados","Fiambrera Molkas | 6675","https://www.connectad.net/articulos-de-cocina-personalizados/827505-3053941-molkas.html#/459-color-blanco/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/459.jpg","MK6675","6,47 €","Fiambrera de línea nature, fabricada en PLA 100% compostable libre...","",""
"https://www.connectad.net/fiambreras-y-tuppers-personalizados/827731-2523042-tuber.html#/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://media1.connectad.net/985646-home_default/tuber.jpg","https://media2.connectad.net/985710-home_default/tuber.jpg","","Producto disponible con otras opciones","Fiambreras y Tuppers Personalizados","Fiambrera Tuber | 6915","","","MK6915","4,67 €","Fiambrera de 1L de capacidad, libre de BPA. Fabricada en cristal de...","",""
"https://www.connectad.net/fiambreras-y-tuppers-personalizados/827732-2523043-dixer.html#/448-color-gris/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://media1.connectad.net/985656-home_default/dixer.jpg","https://media1.connectad.net/985711-home_default/dixer.jpg","","Con existencias","Fiambreras y Tuppers Personalizados","Fiambrera Térmica Dixer | 6916","https://www.connectad.net/fiambreras-y-tuppers-personalizados/827732-2523043-dixer.html#/448-color-gris/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/448.jpg","MK6916","7,85 €","Fiambrera térmica de 850ml de capacidad. Fabricada en acero inox y...","",""
"https://www.connectad.net/fiambreras-y-tuppers-personalizados/828172-2886021-fiambrera-acero-inoxidable-double-chan-mo6212.html#/2660-color-plata_mate/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://media3.connectad.net/1094249-home_default/fiambrera-acero-inoxidable-double-chan-mo6212.jpg","https://media3.connectad.net/1094250-home_default/fiambrera-acero-inoxidable-double-chan-mo6212.jpg","","Con existencias","Fiambreras y Tuppers Personalizados","Fiambrera acero inoxidable DOUBLE CHAN | MO6212","https://www.connectad.net/fiambreras-y-tuppers-personalizados/828172-2886021-fiambrera-acero-inoxidable-double-chan-mo6212.html#/2660-color-plata_mate/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/2660.jpg","MO6212","11,60 €","Fiambrera de acero inoxidable de 2 compartimentos con fuertes...","",""
"https://www.connectad.net/fiambreras-y-tuppers-personalizados/828198-2886572-fiambrera-sandwichera-thursday-mo6240.html#/461-color-negro/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://media1.connectad.net/1094424-home_default/fiambrera-sandwichera-thursday-mo6240.jpg","https://media3.connectad.net/1094425-home_default/fiambrera-sandwichera-thursday-mo6240.jpg","Sostenible","Con existencias","Fiambreras y Tuppers Personalizados","Fiambrera sandwichera THURSDAY | MO6240","https://www.connectad.net/fiambreras-y-tuppers-personalizados/828198-2886572-fiambrera-sandwichera-thursday-mo6240.html#/461-color-negro/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/461.jpg","MO6240","4,62 €","Fiambrera o sandwichera de PP con tapa de bambú.","https://www.connectad.net/fiambreras-y-tuppers-personalizados/828198-2886573-fiambrera-sandwichera-thursday-mo6240.html#/601-color-beig/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/601.jpg"
"https://www.connectad.net/fiambreras-y-tuppers-personalizados/828211-2886928-fiambrera-pp-sunday-mo6254.html#/461-color-negro/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://media1.connectad.net/1094538-home_default/fiambrera-pp-sunday-mo6254.jpg","https://media1.connectad.net/1094539-home_default/fiambrera-pp-sunday-mo6254.jpg","","Con existencias","Fiambreras y Tuppers Personalizados","Fiambrera PP SUNDAY | MO6254","https://www.connectad.net/fiambreras-y-tuppers-personalizados/828211-2886929-fiambrera-pp-sunday-mo6254.html#/459-color-blanco/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/459.jpg","MO6254","2,98 €","Fiambrera con 1 compartimento en PP que incluye los cubiertos.","https://www.connectad.net/fiambreras-y-tuppers-personalizados/828211-2886928-fiambrera-pp-sunday-mo6254.html#/461-color-negro/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/461.jpg"
"https://www.connectad.net/fiambreras-y-tuppers-personalizados/828232-2887363-fiambrera-pp-600-ml-saturday-mo6275.html#/461-color-negro/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://media3.connectad.net/1094718-home_default/fiambrera-pp-600-ml-saturday-mo6275.jpg","https://media1.connectad.net/1094719-home_default/fiambrera-pp-600-ml-saturday-mo6275.jpg","","Con existencias","Fiambreras y Tuppers Personalizados","Fiambrera PP 600 ml SATURDAY | MO6275","https://www.connectad.net/fiambreras-y-tuppers-personalizados/828232-2887364-fiambrera-pp-600-ml-saturday-mo6275.html#/459-color-blanco/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/459.jpg","MO6275","3,91 €","Fiambrera de 2 compartimentos fabricada en PP. Incluye juego de...","https://www.connectad.net/fiambreras-y-tuppers-personalizados/828232-2887363-fiambrera-pp-600-ml-saturday-mo6275.html#/461-color-negro/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/461.jpg"
