,keyword,urls_seo,name_seo,h3_seo,currency,avg__monthly_searches,cambio_en_tres_meses,cambio_interanual,competition,competition_(indexed_value),top_of_page_bid_(low_range),top_of_page_bid_(high_range),average_bid,rank_avg_monthly_searches,rank_cambio_en_tres_meses,rank_average_bid,score
91,tupper trabajo,https://www.ikea.com/es/es/ideas/comida-para-llevar-al-trabajo-en-tupper-pubb0bc0730/,IKEA,"táper, adaptación española del anglicismo tupper - Fundéu",EUR,170.0,1.89,0.24,Alta,100.0,0.05,0.4,0.225,26,52,20,96.0
92,tupper trabajo,https://www.elcorteingles.es/hogar/menaje-de-cocina/porta-alimentos/,El Corte Inglés,12 'tuppers' herméticos con los que evitar derrames sorpresa sin cargar ...,EUR,170.0,1.89,0.24,Alta,100.0,0.05,0.4,0.225,26,52,20,96.0
93,comprar tupper,,,Tuppers y fiambreras infantiles,EUR,170.0,3.36,2.43,Alta,100.0,0.08,0.47,0.27499999999999997,26,56,10,85.33333333333333
94,tupper para llevar al trabajo,,,Tupper Con Compartimentos En Color Azul ...,EUR,140.0,0.21,0.0,Alta,100.0,0.09,0.48,0.285,20,1,9,39.333333333333336
95,tupper termo,https://www.amazon.es/tupper-termo/s?k=tupper+termo,Amazon.es,Tupper Comida,EUR,140.0,1.89,0.53,Alta,100.0,0.09,0.58,0.33499999999999996,20,52,6,69.33333333333333
96,tupper termo,https://cocuisineshop.com/collections/termos-comida-y-liquidos?srsltid=AfmBOopi1F-U3VjyQkxPSYoPNIbAbFpu1FaFisOQRhnSUq9FffF0VEfp,cocuisine,"táper, adaptación española del anglicismo tupper - Fundéu",EUR,140.0,1.89,0.53,Alta,100.0,0.09,0.58,0.33499999999999996,20,52,6,69.33333333333333
97,tupper termo,https://www.decathlon.es/es/deportes/camping/taper-y-fiambreras,Decathlon,táper | Definición | Diccionario de la lengua española | RAE - ASALE,EUR,140.0,1.89,0.53,Alta,100.0,0.09,0.58,0.33499999999999996,20,52,6,69.33333333333333
98,tupper aluminio,https://www.amazon.es/Tupperware-Hogar-cocina-Aluminio/s?k=Tupperware&rh=n%3A599391031%2Cp_n_material_browse%3A2357268031,Amazon.es,El indispensable recipiente para llevar comida al trabajo: ¡Descubre su ...,EUR,140.0,0.86,0.24,Alta,100.0,0.07,0.44,0.255,20,32,13,65.33333333333333
99,tupper aluminio,https://www.fumisan.es/57-envases-de-aluminio,Fumisan,¿Cómo conseguir que comer de tupper sea saludable?,EUR,140.0,0.86,0.24,Alta,100.0,0.07,0.44,0.255,20,32,13,65.33333333333333
100,tupper aluminio,"https://alfipa.es/aplicaciones/aluminio-lamina-laminado-alimentos-envase/#:~:text=Los%20envases%20de%20aluminio%20son,de%20agua%2C%20ox%C3%ADgeno%20y%20microorganismos.",Alfipa,"Tápers, Tarteras y Bolsas Porta Alimentos - IKEA",EUR,140.0,0.86,0.24,Alta,100.0,0.07,0.44,0.255,20,32,13,65.33333333333333
101,tupper yogur,https://www.amazon.es/Porta-yogur/s?k=Porta+yogur,Amazon.es,Porta alimentos: Hogar y cocina,EUR,140.0,1.33,0.0,Alta,100.0,0.07,0.2,0.135,20,44,49,121.33333333333333
102,tupper yogur,https://www.ikea.com/es/es/p/dagklar-bote-con-accesorio-vidrio-incoloro-acero-inoxidable-60497224/,IKEA,⇒ Táper ▷ Comprar con los Mejores Precios. Ofertas online,EUR,140.0,1.33,0.0,Alta,100.0,0.07,0.2,0.135,20,44,49,121.33333333333333
103,tupper yogur,https://es.aliexpress.com/w/wholesale-tupper-para-yogur-y-cereales.html,AliExpress,Taper Termico Para Comida,EUR,140.0,1.33,0.0,Alta,100.0,0.07,0.2,0.135,20,44,49,121.33333333333333
104,tupper silicona,https://www.amazon.es/tupper-silicona/s?k=tupper+silicona,Amazon.es,"tápers de cristal o plástico, recipientes herméticos para ...",EUR,140.0,0.55,-0.35,Alta,100.0,0.08,0.33,0.20500000000000002,20,16,29,76.0
105,tupper silicona,https://www.tupperware.es/shop/es/bolsa-de-silicona-m.html,Tupperware España,"Tuppers para comida: de cristal, al vacío y más",EUR,140.0,0.55,-0.35,Alta,100.0,0.08,0.33,0.20500000000000002,20,16,29,76.0
106,tupper silicona,https://tableandkitchen.net/recipientes-hermeticos/9944-tupper-silicona-500-ml-verde-lekue--8420460015260.html,Table&Kitchen,Envases de comida para llevar,EUR,140.0,0.55,-0.35,Alta,100.0,0.08,0.33,0.20500000000000002,20,16,29,76.0
107,amazon tupper cristal,,,Tupper Comida,EUR,140.0,1.33,0.0,Alta,100.0,0.07,0.17,0.12000000000000001,20,44,54,128.0
108,tuppers apilables,https://www.amazon.es/taper-apilable-encajable/s?k=taper+apilable+y+encajable,Amazon,táper | Definición | Diccionario de la lengua española | RAE - ASALE,EUR,140.0,0.56,-0.18,Alta,100.0,0.07,0.3,0.185,20,18,39,90.66666666666667
109,tuppers apilables,https://www.ikea.com/es/es/cat/tapers-tarteras-bolsas-20606/,IKEA,Pablo Ojeda explica cuánto tiempo dura un tupper de comida cocinada ...,EUR,140.0,0.56,-0.18,Alta,100.0,0.07,0.3,0.185,20,18,39,90.66666666666667
110,tuppers apilables,https://es.aliexpress.com/w/wholesale-tupper-apilable.html,AliExpress,"Tuppers, bolsas y fiambreras para llevar la comida al trabajo - EL PAÍS",EUR,140.0,0.56,-0.18,Alta,100.0,0.07,0.3,0.185,20,18,39,90.66666666666667
111,fiambrera tupper,https://www.amazon.es/tupper-fiambrera/s?k=tupper+fiambrera,Amazon.es,ALIMENTOS | Thermos,EUR,140.0,1.33,0.0,Alta,100.0,0.06,0.09,0.075,20,44,57,132.0
112,fiambrera tupper,https://www.jata.es/730-recipientes-fiambreras,jata.es,Fiambreras - Porta alimentos: Hogar y cocina,EUR,140.0,1.33,0.0,Alta,100.0,0.06,0.09,0.075,20,44,57,132.0
113,fiambrera tupper,https://www.aupaorganics.com/97-fiambreras-y-cubiertos,Aúpa Organics,⇒ Táper ▷ Comprar con los Mejores Precios. Ofertas online,EUR,140.0,1.33,0.0,Alta,100.0,0.06,0.09,0.075,20,44,57,132.0
114,tupper congelador,https://www.tupperware.es/shop/es/congelador.html,Tupperware España,Envases de comida para llevar,EUR,140.0,0.91,0.0,Alta,100.0,0.08,0.19,0.135,20,36,49,116.0
115,tupper congelador,https://www.amazon.es/tupper-congelador/s?k=tupper+congelador,Amazon.es,"Tápers, Tarteras y Bolsas Porta Alimentos - IKEA",EUR,140.0,0.91,0.0,Alta,100.0,0.08,0.19,0.135,20,36,49,116.0
116,tupper congelador,"https://elpais.com/elpais/2019/09/17/escaparate/1568702926_823033.html#:~:text=Las%20envasadoras%20al%20vac%C3%ADo%2C%20los,accesorios%20perfectos%20para%20congelar%20alimentos.",EL PAÍS,Tuppers y Fiambreras Térmicas | Online,EUR,140.0,0.91,0.0,Alta,100.0,0.08,0.19,0.135,20,36,49,116.0
117,tupper cristal alcampo,https://www.compraonline.alcampo.es/categories/hogar-y-decoraci%C3%B3n/orden-en-la-cocina/botes-de-cocina-y-recipientes/recipientes-herm%C3%A9ticos/OC59040611,Alcampo,Envases Desechables para Comida,EUR,140.0,1.0,-0.46,Alta,100.0,0.07,0.29,0.18,20,37,43,108.66666666666667
118,tupper cristal alcampo,https://www.compraonline.alcampo.es/products/tupper-herm%C3%A9tico-de-vidrio-rectangular-con-tapa-de-clip-color-verde-y-v%C3%A1lvula-0-82-litros-pure-box-luminarc/678326,Alcampo,Tuppers a domicilio de comida casera,EUR,140.0,1.0,-0.46,Alta,100.0,0.07,0.29,0.18,20,37,43,108.66666666666667
119,tupper cristal alcampo,https://www.compraonline.alcampo.es/categories/hogar-y-decoraci%C3%B3n/utensilios-de-cocina/conservaci%C3%B3n-de-alimentos/OC590406,Alcampo,Tupper,EUR,140.0,1.0,-0.46,Alta,100.0,0.07,0.29,0.18,20,37,43,108.66666666666667
120,tupper para congelador,https://www.amazon.es/tupper-congelador/s?k=tupper+congelador,Amazon.es,Las mejores fiambreras eléctricas. Consejos y recomendaciones,EUR,140.0,0.91,0.24,Alta,100.0,0.06,0.3,0.18,20,36,43,108.0
121,tupper para congelador,https://www.tupperware.es/shop/es/congelador.html,Tupperware España,ALIMENTOS | Thermos,EUR,140.0,0.91,0.24,Alta,100.0,0.06,0.3,0.18,20,36,43,108.0
122,tupper para congelador,"https://www.20minutos.es/gastronomia/productos/se-pueden-congelar-los-taper-de-cristal-o-de-plastico-5027727/#:~:text=Recuerda%20que%20un%20verdadero%20tupper,hasta%20los%2030%C2%BA%20bajo%20cero.",20Minutos,táper | Definición | Diccionario de la lengua española | RAE - ASALE,EUR,140.0,0.91,0.24,Alta,100.0,0.06,0.3,0.18,20,36,43,108.0
123,tupper de vidrio,https://www.amazon.es/tupper-cristal/s?k=tupper+cristal,Amazon.es,Tupper Plastico,EUR,110.0,0.89,0.89,Alta,100.0,0.11,0.52,0.315,9,34,8,45.333333333333336
124,tupper de vidrio,https://www.lidl.es/es/tuppers/c6257?srsltid=AfmBOoqvSatAR3UoQhtsN-ny3F00ckMAmra0zSTG6cvfGK6U-BIi0dfb,Compra Online | Lidl,Tuppers,EUR,110.0,0.89,0.89,Alta,100.0,0.11,0.52,0.315,9,34,8,45.333333333333336
125,tupper de vidrio,https://eu.duralex.com/es-eu/collections/taper-rectangular,Duralex,Los productos más populares en Envases para alimentos,EUR,110.0,0.89,0.89,Alta,100.0,0.11,0.52,0.315,9,34,8,45.333333333333336
126,tupper con cubiertos,https://www.amazon.es/fiambrera-cubiertos/s?k=fiambrera+con+cubiertos,Amazon.es,Tupperware - Recipientes / Envases Para Alimentos,EUR,110.0,0.56,-0.33,Alta,100.0,0.07,0.36,0.215,9,18,25,57.333333333333336
127,tupper con cubiertos,https://ecological.eco/catalogo/set-tupper-cristal-madera-cubiertos/,ecological.eco,Tupperware: Hogar Y Cocina,EUR,110.0,0.56,-0.33,Alta,100.0,0.07,0.36,0.215,9,18,25,57.333333333333336
128,tupper con cubiertos,https://www.tupperware.es/shop/es/set-de-cubiertos-reutilizables.html,Tupperware España,Juegos de recipientes: Hogar y cocina,EUR,110.0,0.56,-0.33,Alta,100.0,0.07,0.36,0.215,9,18,25,57.333333333333336
129,tupper comida trabajo,https://www.amazon.es/tupper-trabajo/s?k=tupper+trabajo,Amazon.es,,EUR,110.0,1.89,1.36,Alta,99.0,0.08,0.31,0.195,9,52,35,93.33333333333333
130,tupper comida trabajo,https://www.ikea.com/es/es/ideas/comida-para-llevar-al-trabajo-en-tupper-pubb0bc0730/,IKEA,Tapers De Microondas,EUR,110.0,1.89,1.36,Alta,99.0,0.08,0.31,0.195,9,52,35,93.33333333333333
131,tupper comida trabajo,https://www.elcorteingles.es/hogar/menaje-de-cocina/porta-alimentos/,El Corte Inglés,Qué recipiente o táper es apto para el microondas (y cuál no) - La Tercera,EUR,110.0,1.89,1.36,Alta,99.0,0.08,0.31,0.195,9,52,35,93.33333333333333
132,tupper sandwich,https://www.amazon.es/sandwich-tupper/s?k=sandwich+tupper,Amazon.es,¿Qué requisitos deben cumplir los envases plásticos aptos para ...,EUR,110.0,4.2,0.0,Alta,100.0,0.08,0.23,0.155,9,57,46,111.33333333333333
133,tupper sandwich,https://firstgreen.es/products/fiambrera-sandwich-noix,FirstGreen Eco Merchandising,Qué se puede y qué no se puede poner en el microondas - Whirlpool,EUR,110.0,4.2,0.0,Alta,100.0,0.08,0.23,0.155,9,57,46,111.33333333333333
134,tupper sandwich,https://www.tupperware.es/shop/es/sandwichera-eco-cuadrada.html,Tupperware España,What You Can and Can't Put in a Microwave - Whirlpool,EUR,110.0,4.2,0.0,Alta,100.0,0.08,0.23,0.155,9,57,46,111.33333333333333
135,tupper con separadores,https://www.amazon.es/cajas-separadores-Fiambreras-Porta-alimentos/s?k=cajas+con+separadores&rh=n%3A2165231031,Amazon.es,Platos aptos para microondas | Guía práctica | Respuestas rápidas - Sub-Zero,EUR,110.0,1.89,-0.19,Alta,100.0,0.07,0.3,0.185,9,52,39,98.66666666666667
136,tupper con separadores,https://www.ikea.com/es/es/p/ikea-365-separadores-bote-juego-3-azul-oscuro-60500896/,IKEA,Microwave Safe Dishes | How to Guide | Quick Answers - Sub-Zero,EUR,110.0,1.89,-0.19,Alta,100.0,0.07,0.3,0.185,9,52,39,98.66666666666667
137,tupper con separadores,https://www.valira.com/shop/es/accesorios/361-separador-8411401025561.html?srsltid=AfmBOoqUZjzQfFhkKUi7_C7u6QgEY0WEJGSuXatUcgdnRToa5J_D4b72,Valira,Microondas I Tupperware,EUR,110.0,1.89,-0.19,Alta,100.0,0.07,0.3,0.185,9,52,39,98.66666666666667
138,tupper con rejilla,https://www.amazon.es/rejilla-descongelar-Almacenamiento-organizaci%C3%B3n-Hogar-cocina/s?k=rejilla+descongelar&rh=n%3A3359926031,Amazon.es,Accesorios para Microondas,EUR,110.0,0.22,0.0,Alta,100.0,0.07,0.17,0.12000000000000001,9,4,54,86.66666666666667
139,tupper con rejilla,https://www.valira.com/shop/es/accesorios/360-rejilla-8411401025608.html?srsltid=AfmBOorIzOq1Bkah7rXCFHF6EcyrcT_1vlySGdB61CkhWqrjmOBlj2zM,Valira,Análisis y comparativa de los mejores tuppers ...,EUR,110.0,0.22,0.0,Alta,100.0,0.07,0.17,0.12000000000000001,9,4,54,86.66666666666667
140,tupper con rejilla,https://restauranteelcabra.es/tupper-con-rejilla-para-descongelar/,restauranteelcabra.es,Los recipientes y tápers que no deberíamos meter ...,EUR,110.0,0.22,0.0,Alta,100.0,0.07,0.17,0.12000000000000001,9,4,54,86.66666666666667
141,taper para llevar comida,https://www.amazon.es/tupper-porta-alimentos/s?k=tupper+porta+alimentos,Amazon.es,Cuitisan FLORA,EUR,110.0,0.22,-0.35,Alta,100.0,0.07,0.41,0.24,9,4,17,37.333333333333336
142,taper para llevar comida,"https://www.envasesdelmediterraneo.com/blog/envases-comida-para-llevar/#:~:text=Los%20envases%20para%20llevar%2C%20o,a%20domicilio%20y%20su%20transporte.",Envases del Mediterráneo,Los 18 mejores tuppers para llevar la comida a la oficina,EUR,110.0,0.22,-0.35,Alta,100.0,0.07,0.41,0.24,9,4,17,37.333333333333336
143,taper para llevar comida,"https://www.eldebate.com/salud-y-bienestar/bienestar/alimentacion/20220927/taper-plastico-cristal-cual-mejor_61862.html#:~:text=El%20t%C3%A1per%20de%20cristal%20es,pl%C3%A1sticos%20y%20genera%20menos%20residuos.",El Debate,Portalimentos: Tupper Para Microondas - Idealo,EUR,110.0,0.22,-0.35,Alta,100.0,0.07,0.41,0.24,9,4,17,37.333333333333336
144,tupper bluey,https://www.amazon.es/Fiambrera-rectangular-almuerzo-infantil-Bluey/dp/B09TWBM67F,Amazon.es,Fiambrera Inox apta para microondas de Lurch,EUR,110.0,1.89,0.0,Alta,100.0,0.09,0.12,0.105,9,52,55,120.0
145,tupper bluey,https://todojuguete.es/menaje/395779661-sandwichera_multiple_bluey-8412497506200.html,Todojuguete,Taper Al Vacio Alimentos,EUR,110.0,1.89,0.0,Alta,100.0,0.09,0.12,0.105,9,52,55,120.0
146,tupper bluey,https://www.carrefour.es/bluey-fiambrera-infantil-multiple-con-3-compartimentos-de-stor-50620/8412497506200/p,Carrefour,Tuppers para Vacío - Tienda online,EUR,110.0,1.89,0.0,Alta,100.0,0.09,0.12,0.105,9,52,55,120.0
147,tupper para conservar fruta cortada,https://defiestaencasa.es/shop/reutilizables/caja-para-fruta-tupperware-amarillo-1-unidad/,DeFiestaEnCasa,"Tupper al vacío: ahorrar tiempo, dinero y residuos en el hogar",EUR,110.0,1.89,0.24,Alta,100.0,0.06,0.3,0.18,9,52,43,104.0
148,tupper para conservar fruta cortada,"https://www.comunidad.madrid/servicios/salud/fruta-cortada-siempre-refrigerada#:~:text=La%20normativa%20espa%C3%B1ola**%20indica,o%20inferior%20a%204%20%C2%BAC.",Comunidad de Madrid |,Como Abrir Un Tupper Que Cerro Al Vacio - TikTok,EUR,110.0,1.89,0.24,Alta,100.0,0.06,0.3,0.18,9,52,43,104.0
149,tupper para conservar fruta cortada,"https://www.infobae.com/espana/2024/05/22/el-mejor-truco-para-conservar-la-fruta-cortada-fresca-y-que-no-se-oxide/#:~:text=Para%20ello%2C%20basta%20con%20colocar,as%C3%AD%20su%20sabor%20y%20calidad.",Infobae,Cómo abrir un bote de cristal que se resiste sin esfuerzo - El Español,EUR,110.0,1.89,0.24,Alta,100.0,0.06,0.3,0.18,9,52,43,104.0
