,keyword,urls_seo,name_seo,h3_seo,currency,avg__monthly_searches,cambio_en_tres_meses,cambio_interanual,competition,competition_(indexed_value),top_of_page_bid_(low_range),top_of_page_bid_(high_range),average_bid,rank_avg_monthly_searches,rank_cambio_en_tres_meses,rank_average_bid,score
33,taper de comida,"https://www.lasexta.com/programas/mas-vale-tarde/pablo-ojeda-explica-cuanto-tiempo-dura-tupper-comida-cocinada-buen-estado_2023082364e648ac714dff0001c6ba94.html#:~:text=Adem%C3%A1s%2C%20el%20experto%20ha%20esclarecido,esto%20puede%20generar%20muchas%20dudas.",LaSexta,What You Can and Can't Put in a Microwave - Whirlpool,EUR,390.0,0.5,0.0,Alta,100.0,0.07,0.35,0.21,47,13,28,108.66666666666667
34,tupper amazon,https://www.amazon.es/tupper/s?k=tupper,Amazon.es,Tapers De Microondas,EUR,390.0,0.84,0.23,Alta,100.0,0.07,0.17,0.12000000000000001,47,24,54,150.66666666666666
35,tupper amazon,https://www.amazon.es/Tupperware-Hogar-cocina/s?k=Tupperware&rh=n%3A599391031,Amazon.es,Cuitisan FLORA,EUR,390.0,0.84,0.23,Alta,100.0,0.07,0.17,0.12000000000000001,47,24,54,150.66666666666666
36,tupper amazon,https://www.amazon.es/tuppers/s?k=tuppers,Amazon.es,Análisis y comparativa de los mejores tuppers para ... - Chincha,EUR,390.0,0.84,0.23,Alta,100.0,0.07,0.17,0.12000000000000001,47,24,54,150.66666666666666
37,tupper para microondas,https://www.amazon.es/tapers-microondas/s?k=tapers+de+microondas,Amazon.es,Por qué no meter los 'tuppers' de plástico en el microondas,EUR,320.0,1.29,0.23,Alta,100.0,0.09,0.29,0.19,42,41,37,132.66666666666666
38,tupper para microondas,"https://www.latercera.com/paula-cocina/noticia/como-saber-que-recipiente-o-taper-es-apto-para-el-microondas-y-cual-no/PPRI5HXQE5GCLCU3IOL5NEMSTU/#:~:text=Es%20el%20polipropileno%20de%20uso,que%20es%20libre%20de%20BPA.",La Tercera,¿Se puede meter el tupper en el microondas?,EUR,320.0,1.29,0.23,Alta,100.0,0.09,0.29,0.19,42,41,37,132.66666666666666
39,tupper para microondas,"https://www.spg-pack.com/blog/envases-plastico-microondas/#:~:text=Si%20atendemos%20a%20los%20c%C3%B3digos,sustancias%20como%20el%20Biosfenol%2DA.",SPG-Pack,Luminarc tupper cristal hermético cuadrado 10 cm,EUR,320.0,1.29,0.23,Alta,100.0,0.09,0.29,0.19,42,41,37,132.66666666666666
40,tupper al vacio,https://www.amazon.es/taper-vacio-alimentos/s?k=taper+al+vacio+alimentos,Amazon.es,Tupper acero inoxidable apto para microondas ...,EUR,320.0,0.85,0.0,Alta,100.0,0.07,0.33,0.2,42,27,34,119.33333333333333
41,tupper al vacio,https://www.maquinasfebal.es/tienda-online-profesionales/maquinaria/envasadoras-de-vacio/tuppers-para-vacio/,Máquinas Febal,Tupper Infantil,EUR,320.0,0.85,0.0,Alta,100.0,0.07,0.33,0.2,42,27,34,119.33333333333333
42,tupper al vacio,"https://sevilla.abc.es/contenidopromocionado/2018/09/25/tupper-al-vacio-ventajas-ecovidasolar-ahorro-dinero-tiempo/#:~:text=Los%20envases%20al%20vac%C3%ADo%20funcionan,durar%C3%ADa%20m%C3%A1s%20de%203%20d%C3%ADas.",ABC de Sevilla,Fiambreras infantiles,EUR,320.0,0.85,0.0,Alta,100.0,0.07,0.33,0.2,42,27,34,119.33333333333333
43,tupper plastico,https://www.amazon.es/tupper-plastico/s?k=tupper+plastico,Amazon.es,Tuppers y fiambreras infantiles,EUR,320.0,0.5,0.0,Alta,100.0,0.09,0.31,0.2,42,13,34,110.0
44,tupper plastico,https://www.carrefour.es/hogar/menaje-de-la-cocina/almacenamiento-y-transporte-de-alimentos-plastico/F-10qoZ12g9/c,Carrefour,Fiambreras Infantiles Personalizables | Seguras y Divertidas,EUR,320.0,0.5,0.0,Alta,100.0,0.09,0.31,0.2,42,13,34,110.0
45,tupper plastico,"https://es.wikipedia.org/wiki/Tupperware#:~:text=Actualmente%20se%20emplean%20en%20la,que%20llam%C3%B3%20Tupperware%20Plastics%20Company.",Wikipedia,Fiambreras Y Tuppers Infantiles,EUR,320.0,0.5,0.0,Alta,100.0,0.09,0.31,0.2,42,13,34,110.0
46,tupper embutido,https://www.amazon.es/tupper-embutido/s?k=tupper+embutido,Amazon.es,FIAMBRERAS INFANTILES,EUR,320.0,0.22,-0.34,Alta,100.0,0.09,0.24,0.16499999999999998,42,4,45,118.66666666666667
47,tupper embutido,https://practicdomus.es/collections/porta-embutidos?srsltid=AfmBOoo9FwIyVJ9jBnLUSLgpUTw74OmdUH-IxjeUUo-YrO4HgUDFZWRx,PracticDomus,Fiambreras Infantiles,EUR,320.0,0.22,-0.34,Alta,100.0,0.09,0.24,0.16499999999999998,42,4,45,118.66666666666667
48,tupper embutido,https://www.miravia.es/kw/tupper-para-embutido.html,Miravia,Fiambreras Infantiles | Cajas de Almuerzo o Merienda,EUR,320.0,0.22,-0.34,Alta,100.0,0.09,0.24,0.16499999999999998,42,4,45,118.66666666666667
49,taper comida,https://www.amazon.es/tupper-comida/s?k=tupper+comida,Amazon.es,Infantil I Tupperware,EUR,320.0,0.23,0.0,Alta,100.0,0.07,0.43,0.25,42,5,15,79.33333333333333
50,taper comida,"https://www.lasexta.com/programas/mas-vale-tarde/pablo-ojeda-explica-cuanto-tiempo-dura-tupper-comida-cocinada-buen-estado_2023082364e648ac714dff0001c6ba94.html#:~:text=Adem%C3%A1s%2C%20el%20experto%20ha%20esclarecido,esto%20puede%20generar%20muchas%20dudas.",LaSexta,Fiambrera Acero Inoxidable,EUR,320.0,0.23,0.0,Alta,100.0,0.07,0.43,0.25,42,5,15,79.33333333333333
51,taper comida,"https://refrigeriosempresariales.com.co/como-se-llama-el-recipiente-donde-se-lleva-la-comida-al-trabajo/#:~:text=Otros%20nombres%20que%20tambi%C3%A9n%20se,y%20segura%20durante%20el%20transporte.",Refrigerios Empresariales Bogotá,Termos y almacenaje,EUR,320.0,0.23,0.0,Alta,100.0,0.07,0.43,0.25,42,5,15,79.33333333333333
52,tupper comida para llevar,,,Fiambreras y Cubiertos,EUR,320.0,0.86,-0.46,Alta,97.0,0.16,0.61,0.385,42,32,3,81.33333333333333
53,tupper vidrio,https://www.amazon.es/tupper-cristal/s?k=tupper+cristal,Amazon.es,Fiambreras y tuppers libres de tóxicos - Conasi,EUR,260.0,0.86,0.5,Alta,100.0,0.11,0.41,0.26,36,32,11,84.0
54,tupper vidrio,https://eu.duralex.com/es-eu/collections/taper-rectangular,Duralex,Fiambreras acero inoxidable,EUR,260.0,0.86,0.5,Alta,100.0,0.11,0.41,0.26,36,32,11,84.0
55,tupper vidrio,https://www.lidl.es/es/tuppers/c6257?srsltid=AfmBOooI-Y8SV5hRBzv1TlRw56fXaTSVPKYgF1MonT8bWGe-XLhke0FH,Compra Online | Lidl,Almacenamiento y transporte de alimentos Acero ...,EUR,260.0,0.86,0.5,Alta,100.0,0.11,0.41,0.26,36,32,11,84.0
