"thumbnail href","img-fluid src","img-fluid src 2","badge","product-category-name","h3","miniature-reference-link","product-price","product-description-short","btn","color href","img-fluid src 3","lbltext","color href 2","img-fluid src 4"
"https://www.connectad.net/fiambreras-y-tuppers-personalizados/829676-2524528-yalac.html#/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://media1.connectad.net/986614-home_default/yalac.jpg","https://media1.connectad.net/986648-home_default/yalac.jpg","Con existencias","Fiambreras y Tuppers Personalizados","Fiambrera Yalac | 1123","MK1123","7,26 €","FiambreraFiambrera fabricada en acero inox y de 750 ml de...","Añadir al carrito","","","","",""
"https://www.connectad.net/articulos-para-cocina-y-hogar-personalizados/829677-2789694-harxem.html#/444-color-natural/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://media1.connectad.net/1067235-home_default/harxem.jpg","https://media2.connectad.net/1067778-home_default/harxem.jpg","Con existencias","Artículos para Cocina y Hogar Personalizados","Fiambrera Harxem | 1124","MK1124","2,74 €","FiambreraFiambrera fabricada en PP veteado libre de BPA. De 700ml...","Añadir al carrito","https://www.connectad.net/articulos-para-cocina-y-hogar-personalizados/829677-2789694-harxem.html#/444-color-natural/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/444.jpg","","",""
"https://www.connectad.net/articulos-para-cocina-y-hogar-personalizados/829678-2789695-thadan.html#/444-color-natural/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://media1.connectad.net/1067239-home_default/thadan.jpg","https://media3.connectad.net/1067779-home_default/thadan.jpg","Con existencias","Artículos para Cocina y Hogar Personalizados","Fiambrera Thadan | 1125","MK1125","4,24 €","FiambreraFiambrera de 1l en resistente material PP veteado libre de...","Añadir al carrito","https://www.connectad.net/articulos-para-cocina-y-hogar-personalizados/829678-2789695-thadan.html#/444-color-natural/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/444.jpg","Sostenible","https://www.connectad.net/articulos-para-cocina-y-hogar-personalizados/829678-2789696-thadan.html#/461-color-negro/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/461.jpg"
"https://www.connectad.net/fiambreras-y-tuppers-personalizados/829867-2526858-chosal.html#/459-color-blanco/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://media3.connectad.net/987819-home_default/chosal.jpg","https://media2.connectad.net/987919-home_default/chosal.jpg","Con existencias","Fiambreras y Tuppers Personalizados","Fiambrera Chosal | 2633","MK2633","1,66 €","FiambreraFiambrera de 1L de capacidad, hecha en PP de color blanco....","Añadir al carrito","https://www.connectad.net/fiambreras-y-tuppers-personalizados/829867-2526858-chosal.html#/459-color-blanco/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/459.jpg","","",""
"https://www.connectad.net/fiambreras-y-tuppers-personalizados/829868-2526859-travil.html#/459-color-blanco/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://media3.connectad.net/987824-home_default/travil.jpg","https://media1.connectad.net/987920-home_default/travil.jpg","Con existencias","Fiambreras y Tuppers Personalizados","Fiambrera Travil | 2634","MK2634","1,47 €","FiambreraFiambrera de 1L de capacidad, hecha en PP de color blanco....","Añadir al carrito","https://www.connectad.net/fiambreras-y-tuppers-personalizados/829868-2526859-travil.html#/459-color-blanco/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/459.jpg","","",""
"https://www.connectad.net/fiambreras-y-tuppers-personalizados/829869-2526860-zenex.html#/459-color-blanco/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://media2.connectad.net/987828-home_default/zenex.jpg","https://media2.connectad.net/987921-home_default/zenex.jpg","Con existencias","Fiambreras y Tuppers Personalizados","Fiambrera Zenex | 2635","MK2635","1,17 €","FiambreraFiambrera de 1L de capacidad, hecha en PP de color blanco....","Añadir al carrito","https://www.connectad.net/fiambreras-y-tuppers-personalizados/829869-2526860-zenex.html#/459-color-blanco/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/459.jpg","","",""
"https://www.connectad.net/fiambreras-y-tuppers-personalizados/829407-2888881-set-fiambreras-de-acero-inox-elles-mo6365.html#/2660-color-plata_mate/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://media2.connectad.net/1095330-home_default/set-fiambreras-de-acero-inox-elles-mo6365.jpg","https://media3.connectad.net/1095331-home_default/set-fiambreras-de-acero-inox-elles-mo6365.jpg","Con existencias","Fiambreras y Tuppers Personalizados","Set fiambreras de acero inox. ELLES | MO6365","MO6365","6,81 €","Set fiambreras de acero inox.Juego de 2 fiambreras o almacenamiento...","Añadir al carrito","https://www.connectad.net/fiambreras-y-tuppers-personalizados/829407-2888881-set-fiambreras-de-acero-inox-elles-mo6365.html#/2660-color-plata_mate/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/2660.jpg","","",""
"https://www.connectad.net/fiambreras-y-tuppers-personalizados/829512-2891035-tarro-de-doble-pared-de-800ml-chiniwa-mo6478.html#/2660-color-plata_mate/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://media3.connectad.net/1096138-home_default/tarro-de-doble-pared-de-800ml-chiniwa-mo6478.jpg","https://media3.connectad.net/1096139-home_default/tarro-de-doble-pared-de-800ml-chiniwa-mo6478.jpg","Con existencias","Fiambreras y Tuppers Personalizados","Tarro de doble pared de 800ml CHINIWA | MO6478","MO6478","16,03 €","Tarro de doble pared de 800mlTarro de almacenamiento de doble pared...","Añadir al carrito","https://www.connectad.net/fiambreras-y-tuppers-personalizados/829512-2891035-tarro-de-doble-pared-de-800ml-chiniwa-mo6478.html#/2660-color-plata_mate/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/2660.jpg","","",""
"https://www.connectad.net/fiambreras-y-tuppers-personalizados/830720-2894822-fiambrera-con-cubiertos-en-pp-makan-mo6646.html#/461-color-negro/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://media3.connectad.net/1097576-home_default/fiambrera-con-cubiertos-en-pp-makan-mo6646.jpg","https://media3.connectad.net/1097577-home_default/fiambrera-con-cubiertos-en-pp-makan-mo6646.jpg","Con existencias","Fiambreras y Tuppers Personalizados","Fiambrera con cubiertos en PP MAKAN | MO6646","MO6646","4,52 €","Fiambrera con cubiertos en PPFiambrera de PP de dos pisos con juego...","Añadir al carrito","https://www.connectad.net/fiambreras-y-tuppers-personalizados/830720-2894823-fiambrera-con-cubiertos-en-pp-makan-mo6646.html#/459-color-blanco/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/459.jpg","","https://www.connectad.net/fiambreras-y-tuppers-personalizados/830720-2894822-fiambrera-con-cubiertos-en-pp-makan-mo6646.html#/461-color-negro/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/461.jpg"
"https://www.connectad.net/fiambreras-y-tuppers-personalizados/830653-2895292-fiambrera-de-acero-inoxidable-sao-mo6671.html#/2660-color-plata_mate/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://media3.connectad.net/1097783-home_default/fiambrera-de-acero-inoxidable-sao-mo6671.jpg","https://media1.connectad.net/1097784-home_default/fiambrera-de-acero-inoxidable-sao-mo6671.jpg","Con existencias","Fiambreras y Tuppers Personalizados","Fiambrera de acero inoxidable SAO | MO6671","MO6671","11,89 €","Fiambrera de acero inoxidableFiambrera de acero inoxidable con...","Añadir al carrito","https://www.connectad.net/fiambreras-y-tuppers-personalizados/830653-2895292-fiambrera-de-acero-inoxidable-sao-mo6671.html#/2660-color-plata_mate/24669-posicion-sin_impresion/24670-marcaje-sin_impresion","https://www.connectad.net//img/co/2660.jpg","","",""
