nombre,precio,precio_original,url,score,reviews,tipo_de_producto,material1,emisiones_co2,litros_de_agua,kwh_de_energia
"camiseta ""libre""  mujer [ilustracion 72kilos]",30.0,-,https://minimalismbrand.com/products/camiseta-libre-mujer,,,camisetas,algodon organico,,,
camiseta oversize   negra,25.0,-,https://minimalismbrand.com/products/camiseta-oversize-algodon-organico,4.3,13.0,camisetas algodon organico,algodon organico,2.4,614.9,3.8
pack camiseta oversize  x3,72.0,75.00,https://minimalismbrand.com/products/pack-camiseta-oversize-algodon-organico-x3,,,camisetas algodon organico,algodon organico,7.2,845,11.4
pack camiseta oversize  x5,115.0,125.00,https://minimalismbrand.com/products/pack-camiseta-oversize-algodon-organico-x5,,,camisetas algodon organico,algodon organico,12,075,19
pack camiseta oversize  x7,154.0,175.00,https://minimalismbrand.com/products/pack-camiseta-oversize-algodon-organico-x7,,,camisetas algodon organico,algodon organico,16.8,305,26.6
camiseta  manga larga  negra,30.0,-,https://minimalismbrand.com/products/camiseta-algodon-organico-manga-larga,4.5,19.0,camisetas algodon organico,algodon organico,1.7,721.6,5
camiseta  manga larga x3,80.0,90.00,https://minimalismbrand.com/products/camiseta-algodon-organico-manga-larga-x3,,,camisetas algodon organico,poliester reciclado,5.1,165,15
polo pique   negro,50.0,-,https://minimalismbrand.com/products/polo-pique-algodon-organico,4.5,13.0,camisetas algodon organico,algodon organico,2.4,614.9,3.8
polo pique   pack 3 uds,140.0,150.00,https://minimalismbrand.com/products/polo-pique-algodon-organico-x3-3,,,camisetas algodon organico,algodon organico,7.2,845,11.4
sudadera   negra,55.0,-,https://minimalismbrand.com/products/sudadera-algodon-organico-sin-capucha,4.9,60.0,sudaderas,algodon organico,3.4,860,5.3
sudadera  con capucha  negra,65.0,-,https://minimalismbrand.com/products/sudadera-organica-con-capucha,4.9,69.0,sudaderas,algodon organico,3.4,860,5.3
jersey   gris,55.0,-,https://minimalismbrand.com/products/jersey-sueter-lana-merino-reciclada,4.5,4.0,jerseys,poliester reciclado,,,
bufanda de   negro,24.0,-,https://minimalismbrand.com/products/bufanda-de-algodon-reciclado,5.0,3.0,accesorios,algodon reciclado,,,
gorro de   negro,15.0,-,https://minimalismbrand.com/products/gorro-de-algodon-reciclado,5.0,3.0,accesorios,algodon reciclado,,,
guantes de   negro,12.0,-,https://minimalismbrand.com/products/guantes-de-algodon-reciclado,5.0,3.0,accesorios,algodon reciclado,,,
gorro + guantes de,23.0,27.00,https://minimalismbrand.com/products/gorro-guantes-de-algodon-reciclado,,,accesorios,algodon reciclado,,,
pano material reciclado x4,10.0,-,https://minimalismbrand.com/products/pano-material-reciclado-x4,,,accesorios,algodon organico,,,
pantalon organico mom fit mujer,70.0,-,https://minimalismbrand.com/products/pantalon-organico-mom-fit-mujer,5.0,3.0,pantalones,poliester reciclado,10.7,985,35.4
pantalon vaquero regular mujer,70.0,-,https://minimalismbrand.com/products/pantalon-vaquero-regular-mujer,4.0,2.0,pantalones,algodon organico,10.7,985,35.4
pantalon relaxed jogger organico  negro,55.0,-,https://minimalismbrand.com/products/pantalon-relaxed-jogger-organico,,,pantalones,poliester reciclado,3.4,860,5.3
pantalon jogger largo organico  chandal unisex  negro,55.0,-,https://minimalismbrand.com/products/pantalon-jogger-organico-unisex-largo,4.3,14.0,pantalones,poliester reciclado,3.4,860,5.3
pantalon jogger corto organico  chandal unisex  negro,40.0,-,https://minimalismbrand.com/products/pantalon-jogger-organico-unisex-corto,4.5,6.0,pantalones,poliester reciclado,2.4,614.9,3.8
